slug,brand_name,total_reports,flag_reason
pain-relief-childrens-dye-free,PAIN RELIEF CHILDRENS DYE FREE,247014,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
childrens-pain-relief,CHILDRENS PAIN RELIEF,247010,"symptom word: ""pain"" | retail phrase: ""childrens"" | all generic words"
max-relief-junior,MAX RELIEF JUNIOR,247009,"symptom word: ""relief"" | retail word: ""junior"" | all generic words"
childrens-acetaminophen,CHILDRENS ACETAMINOPHEN,247008,"retail phrase: ""childrens"" | all generic words"
childrens-acetaminophen-dye-free-grape,CHILDRENS ACETAMINOPHEN DYE FREE GRAPE,247008,"retail phrase: ""childrens"" | long name: 5 words"
childrens-pain-and-fever,CHILDRENS PAIN AND FEVER,247007,"symptom word: ""pain"" | retail phrase: ""childrens"" | all generic words"
childrens-pain-and-fever-dye-free,CHILDRENS PAIN AND FEVER DYE FREE,247007,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
childrens-pain-and-fever-dissolve-packs,CHILDRENS PAIN AND FEVER DISSOLVE PACKS,247007,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
extra-strength-pain-relief,EXTRA STRENGTH PAIN RELIEF,247005,"symptom word: ""pain"" | retail phrase: ""extra strength"" | all generic words"
nighttime-cold-and-flu-relief,NIGHTTIME COLD AND FLU RELIEF,247004,"symptom word: ""cold"" | retail phrase: ""nighttime"" | long name: 5 words | all generic words"
equate-8hr-arthritis-pain-relief,EQUATE 8HR ARTHRITIS PAIN RELIEF,247001,"symptom word: ""arthritis"" | long name: 5 words"
good-neighbor-pharmacy-childrens-pain-and-fever,GOOD NEIGHBOR PHARMACY CHILDRENS PAIN AND FEVER,246996,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 7 words"
infants-pain-and-fever,INFANTS PAIN AND FEVER,246996,"symptom word: ""pain"" | retail phrase: ""infants"" | all generic words"
acetaminophen-extended-release,ACETAMINOPHEN EXTENDED-RELEASE,246996,all generic words
pharbetol-regular-strength,PHARBETOL REGULAR STRENGTH,246995,"retail phrase: ""regular strength"""
pain-and-fever-childrens,PAIN AND FEVER CHILDRENS,246995,"symptom word: ""pain"" | retail phrase: ""childrens"" | all generic words"
kirkland-signature-acetaminophen-adult-extra-strength,KIRKLAND SIGNATURE ACETAMINOPHEN ADULT EXTRA STRENGTH,246995,"retail phrase: ""extra strength"" | long name: 6 words"
tylenol-for-children-plus-adults,TYLENOL FOR CHILDREN PLUS ADULTS,246995,long name: 5 words
arthritis-pain-acetaminophen,ARTHRITIS PAIN ACETAMINOPHEN,246994,"symptom word: ""arthritis"" | all generic words"
pain-and-fever,PAIN AND FEVER,246994,"symptom word: ""pain"" | all generic words"
acetaminophen-for-children,ACETAMINOPHEN FOR CHILDREN,246994,all generic words
pain-reliever-fever-reducer-extra-strength,PAIN RELIEVER FEVER REDUCER EXTRA STRENGTH,246994,"symptom word: ""pain"" | retail phrase: ""extra strength"" | long name: 6 words"
kids-pain-and-fever,KIDS PAIN AND FEVER,246993,"symptom word: ""pain"""
regular-strength-acetaminophen,REGULAR STRENGTH ACETAMINOPHEN,246993,"retail phrase: ""regular strength"" | all generic words"
equate-childrens-pain-and-fever,EQUATE CHILDRENS PAIN AND FEVER,246993,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
right-remedies-pain-relief-extra-strength-caplet,RIGHT REMEDIES PAIN RELIEF EXTRA STRENGTH CAPLET,246993,"symptom word: ""pain"" | form word: ""caplet"" | retail phrase: ""extra strength"" | long name: 7 words"
regular-strength-pain-reliever,REGULAR STRENGTH PAIN RELIEVER,246993,"symptom word: ""pain"" | retail phrase: ""regular strength"""
regular-strength-pain-relief,REGULAR STRENGTH PAIN RELIEF,246992,"symptom word: ""pain"" | retail phrase: ""regular strength"" | all generic words"
childrens-pain-reliever,CHILDRENS PAIN RELIEVER,246992,"symptom word: ""pain"" | retail phrase: ""childrens"""
childrens-mapap,CHILDRENS MAPAP,246992,"retail phrase: ""childrens"""
counteract-pain,COUNTERACT PAIN,246992,"symptom word: ""pain"""
