slug,brand_name,total_reports,flag_reason,cat_why
extra-strength-smooth-antacid-assorted-fruits,"EXTRA STRENGTH SMOOTH ANTACID ASSORTED FRUITS",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
antacid-soft-chew,"ANTACID SOFT CHEW",45825,"symptom word: "antacid"","flagged, no auto-remove match"
medi-first-plus-antacid,"MEDI-FIRST PLUS ANTACID",45825,"symptom word: "antacid"","flagged, no auto-remove match"
fevia-acid-control,"FEVIA ACID CONTROL",45825,"symptom word: "acid"","flagged, no auto-remove match"
bella-v-antacid-extra-strength-berries-flavor,"BELLA V ANTACID EXTRA STRENGTH BERRIES FLAVOR",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 7 words","flagged, no auto-remove match"
medi-first-antacid,"MEDI-FIRST ANTACID",45825,"symptom word: "antacid"","flagged, no auto-remove match"
marc-glassman-extra-strength,"MARC GLASSMAN EXTRA STRENGTH",45825,"retail phrase: "extra strength"","flagged, no auto-remove match"
antacid-fruit-chews,"ANTACID FRUIT CHEWS",45825,"symptom word: "antacid"","flagged, no auto-remove match"
extra-strength-antacid-smooth-dissolve-assorted-fruit,"EXTRA STRENGTH ANTACID SMOOTH DISSOLVE ASSORTED FRUIT",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 7 words","flagged, no auto-remove match"
antacid-flavor-chews,"ANTACID FLAVOR CHEWS",45825,"symptom word: "antacid"","flagged, no auto-remove match"
mckesson-antacid-calcium-carbonate,"MCKESSON ANTACID CALCIUM CARBONATE",45825,"symptom word: "antacid"","flagged, no auto-remove match"
antacid-flavor-chew,"ANTACID FLAVOR CHEW",45825,"symptom word: "antacid"","flagged, no auto-remove match"
extra-strength-sugar-free-antacid,"EXTRA STRENGTH SUGAR FREE ANTACID",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
extra-strength-smooth-assorted-fruit-antacid,"EXTRA STRENGTH SMOOTH ASSORTED FRUIT ANTACID",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
fw-extra-strength-af-smooth-antacid,"FW EXTRA STRENGTH AF SMOOTH ANTACID",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
gdc-extra-strength-alkums-antacid-127af,"GDC EXTRA STRENGTH ALKUMS ANTACID 127AF",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
bestmade-natural-products-calcium-carbonate-calc-carb,"BESTMADE NATURAL PRODUCTS CALCIUM CARBONATE (CALC CARB)",45825,"long name: 7 words","flagged, no auto-remove match"
citrus-flavored-antacid,"CITRUS FLAVORED ANTACID",45825,"symptom word: "antacid"","flagged, no auto-remove match"
extra-strength-antacid-smooth-dissolving-assorted-fruit,"EXTRA STRENGTH ANTACID SMOOTH DISSOLVING - ASSORTED FRUIT",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 7 words","flagged, no auto-remove match"
bm-calcium-carbonate-calc-carb,"BM CALCIUM CARBONATE (CALC CARB)",45825,"long name: 5 words","flagged, no auto-remove match"
equqline-regular-strength-antacid,"EQUQLINE REGULAR STRENGTH ANTACID",45825,"symptom word: "antacid" | retail phrase: "regular strength"","flagged, no auto-remove match"
equqline-extra-strength-antacid-assorted-fruit,"EQUQLINE EXTRA STRENGTH ANTACID ASSORTED FRUIT",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
calcium-antacidextra-strength-extra-strength,"CALCIUM ANTACIDEXTRA STRENGTH EXTRA STRENGTH",45825,"retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
calcium-carbonate-chewable-antacid,"CALCIUM CARBONATE CHEWABLE ANTACID",45825,"symptom word: "antacid" | form word: "chewable"","flagged, no auto-remove match"
kids-tummy-relief,"KIDS TUMMY RELIEF",45825,"symptom word: "relief"","flagged, no auto-remove match"
assorted-fruit-antacid-flavor-chews,"ASSORTED FRUIT ANTACID FLAVOR CHEWS",45825,"symptom word: "antacid" | long name: 5 words","flagged, no auto-remove match"
nova-antacid,"NOVA ANTACID",45825,"symptom word: "antacid"","flagged, no auto-remove match"
mixed-berry-antacid-and-anti-gas-chews,"MIXED BERRY ANTACID AND ANTI-GAS CHEWS",45825,"symptom word: "antacid" | long name: 7 words","flagged, no auto-remove match"
kids-antacid,"KIDS ANTACID",45825,"symptom word: "antacid"","flagged, no auto-remove match"
mgc-health-calcium-carbonate-antacid-assorted-fruits,"MGC HEALTH CALCIUM CARBONATE ANTACID ASSORTED FRUITS",45825,"symptom word: "antacid" | long name: 7 words","flagged, no auto-remove match"
calcium-carbonate-antacid-assorted-berries,"CALCIUM CARBONATE ANTACID ASSORTED BERRIES",45825,"symptom word: "antacid" | long name: 5 words","flagged, no auto-remove match"
heartburn-and-gas-fruit-chews,"HEARTBURN AND GAS FRUIT CHEWS",45825,"symptom word: "heartburn" | long name: 5 words","flagged, no auto-remove match"
cherry-antacid-soft-chews,"CHERRY ANTACID SOFT CHEWS",45825,"symptom word: "antacid"","flagged, no auto-remove match"
cherry-antacid-soft-chew,"CHERRY ANTACID SOFT CHEW",45825,"symptom word: "antacid"","flagged, no auto-remove match"
cherry-antacid-relief-chew,"CHERRY ANTACID RELIEF CHEW",45825,"symptom word: "antacid"","flagged, no auto-remove match"
cardinalextra-strength-antacid-wintergreen-flavor,"CARDINALEXTRA STRENGTH ANTACID WINTERGREEN FLAVOR",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
hyvee-ultra-strength-antacid-soft-chews-cherry,"HYVEE ULTRA STRENGTH ANTACID SOFT CHEWS CHERRY",45825,"symptom word: "antacid" | long name: 7 words","flagged, no auto-remove match"
